,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,neighborhood
201,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19,202,POINT (-71.0728687 42.35553628),Beacon Hill
202,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19,203,POINT (-71.023739 42.336448),South Boston
204,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,36,205,POINT (-71.064263 42.365673),West End
205,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15,206,POINT (-71.091946 42.316902),Roxbury
206,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,14,207,POINT (-71.1467354 42.35732922),Brighton
207,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15,208,POINT (-71.066498 42.326599),South Boston
214,D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Boston,Yes,13,215,POINT (-71.166491 42.35057),Brighton
216,B32061,One Beacon St,42.35847764,-71.0613513,Boston,Yes,16,217,POINT (-71.0613513 42.35847764),Downtown
217,B32036,One Brigham Circle,42.3339227,-71.10446509,Boston,Yes,15,218,POINT (-71.10446509 42.3339227),Mission Hill
221,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19,222,POINT (-71.006098 42.386781),East Boston
224,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Boston,Yes,27,225,POINT (-71.123831 42.352261),Allston
225,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15,226,POINT (-71.105301 42.347241),Fenway
226,D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Boston,Yes,19,227,POINT (-71.06781138 42.35182807),Downtown
227,Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Boston,Yes,19,228,POINT (-71.09261138 42.33848849),Fenway
229,C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Boston,Yes,19,230,POINT (-71.0446705 42.3502102),South Boston Waterfront
232,A32050,Porzio Park,42.36411904,-71.02876782,Boston,Yes,17,233,POINT (-71.02876782 42.36411904),East Boston
234,C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Boston,Yes,18,235,POINT (-71.08065777 42.34652004),Back Bay
235,A32026,Purchase St at Pearl St,42.354659,-71.053181,Boston,Yes,19,236,POINT (-71.053181 42.354659),Downtown
239,B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Boston,Yes,23,240,POINT (-71.0504394 42.36044136),Downtown
240,C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,Yes,15,241,POINT (-71.12119539 42.29266593),Roslindale
242,C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15,243,POINT (-71.0641389 42.2856944),Dorchester
246,A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11,247,POINT (-71.108279 42.350406),Fenway
247,C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,Yes,19,248,POINT (-71.07657015 42.34807412),Back Bay
250,B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15,251,POINT (-71.0901582 42.3294633),Roxbury
251,C32108,Beach St at Freeport St,42.30367409,-71.05425954,Boston,Yes,19,252,POINT (-71.05425954 42.30367409),Dorchester
253,D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,19,254,POINT (-71.069849 42.356052),Beacon Hill
255,C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,Yes,14,256,POINT (-71.1367213 42.28634589),Roslindale
257,A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,Yes,15,258,POINT (-71.01619095 42.38353252),East Boston
258,A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,Yes,15,259,POINT (-71.01063069 42.38522394),East Boston
261,C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19,262,POINT (-71.09372552 42.27462067),Mattapan
262,C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18,263,POINT (-71.090986 42.286012),Dorchester
263,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,25,264,POINT (-71.057629 42.35892),Downtown
265,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23,266,POINT (-71.04535997 42.34776345),South Boston Waterfront
266,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,267,POINT (-71.04102008 42.37331213),East Boston
267,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,17,268,POINT (-71.14167538 42.35656092),Brighton
268,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,269,POINT (-71.06512249 42.30785224),Dorchester
269,D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Boston,Yes,31,270,POINT (-71.07046366 42.35206005),Beacon Hill
270,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,271,POINT (-71.07329249 42.35114198),Back Bay
271,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,272,POINT (-71.07946779 42.34958942),Back Bay
272,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,273,POINT (-71.08236909 42.34880382),Back Bay
273,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,274,POINT (-71.09732501 42.34465063),Fenway
274,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,275,POINT (-71.08678415 42.34740621),Back Bay
276,A32032,Bremen St at Marion St,42.37410622,-71.03276253,Boston,Yes,11,277,POINT (-71.03276253 42.37410622),East Boston
278,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,279,POINT (-71.10407918 42.33462893),Longwood
279,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,280,POINT (-71.15027189 42.34894857),Brighton
280,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,281,POINT (-71.13776207 42.36154571),Brighton
289,C32053,Broadway T Stop,42.34304858,-71.0580343,Boston,Yes,19,290,POINT (-71.0580343 42.34304858),South Boston
292,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,293,POINT (-71.06905997 42.37408991),Charlestown
293,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15,294,POINT (-71.100694 42.345733),Fenway
299,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,300,POINT (-71.06528744 42.36125722),West End
