"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"San Clemente Island Paintbrush","Castilleja grisea","https://ecos.fws.gov/ecp/species/3335","Wherever found","09-12-1977","01-25-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Island night lizard","Xantusia riversiana","https://ecos.fws.gov/ecp/species/2068","Wherever found","09-12-1977","04-01-2014","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Turgid blossom (pearlymussel)","Epioblasma turgidula","https://ecos.fws.gov/ecp/species/7659","Wherever found; Except where listed as Experimental Populations","06-14-1976","11-16-2023","Species is extinct","Domestic","FWS"
"Sampson's pearlymussel","Epioblasma sampsoni","https://ecos.fws.gov/ecp/species/2799","Wherever found","06-14-1976","01-09-1984","Species is extinct","Domestic","FWS"
"Indian flap-shelled turtle","Lissemys punctata punctata","https://ecos.fws.gov/ecp/species/3106","Wherever found","06-14-1976","02-29-1984","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Foreign","FWS"
"Green blossom (pearlymussel)","Epioblasma torulosa gubernaculum","https://ecos.fws.gov/ecp/species/2098","Wherever found","06-14-1976","11-16-2023","Species is extinct","Domestic","FWS"
"Tubercled blossom (pearlymussel)","Epioblasma torulosa torulosa","https://ecos.fws.gov/ecp/species/4126","Wherever found; Except where listed as Experimental Populations","06-14-1976","11-16-2023","Species is extinct","Domestic","FWS"
"Yellow blossom (pearlymussel)","Epioblasma florentina florentina","https://ecos.fws.gov/ecp/species/6919","Wherever found; Except where listed as Experimental Populations","06-14-1976","11-16-2023","Species is extinct","Domestic","FWS"
"Bahama swallowtail butterfly","Heraclides andraemon bonhotei","https://ecos.fws.gov/ecp/species/6072","Wherever found","04-28-1976","08-31-1984","The listed entity does not meet the statutory definition of a species - Act amendment","Both Domestic and Foreign","FWS"
"Snail darter","Percina tanasi","https://ecos.fws.gov/ecp/species/5603","Wherever found","11-10-1975","11-04-2022","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Scioto madtom","Noturus trautmani","https://ecos.fws.gov/ecp/species/5395","Wherever found","10-28-1975","11-16-2023","Species is extinct","Domestic","FWS"
"Po`ouli (honeycreeper)","Melamprosops phaeosoma","https://ecos.fws.gov/ecp/species/1505","Wherever found","10-28-1975","11-16-2023","Species is extinct","Domestic","FWS"
"Western gray kangaroo","Macropus fuliginosus","https://ecos.fws.gov/ecp/species/6981","Wherever found","12-30-1974","03-09-1995","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
"Red kangaroo","Macropus rufus","https://ecos.fws.gov/ecp/species/160","Wherever found","12-30-1974","03-09-1995","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
"Eastern gray kangaroo","Macropus giganteus","https://ecos.fws.gov/ecp/species/3512","Wherever found","12-30-1974","03-09-1995","Species does not meet the definition of an endangered species or a threatened species - Recovered","Foreign","FWS"
